2026-06-27 11:20:11.608 | INFO     | source=cabaprop run=- target=api_endpoint:cabaprop-api-search-cabaprop-caba-newest-page-2 | inmob.ingestion.sources.base:fetch:132 - Fetching target method=POST uri=https://cabaprop.com.ar/api/v1/properties/find-properties?offset=12&limit=12&orderBy=created_at&sort=desc
2026-06-27 11:20:11.609 | INFO     | source=remax run=- target=api_endpoint:remax-api-search-remax-caba-newest-page-0 | inmob.ingestion.sources.base:fetch:170 - Fetched target status_code=200 media_type=application/json payload_bytes=49124 final_uri=https://api-ar.redremax.com/remaxweb-ar/api/listings/findAllWithEntrepreneurships?page=0&pageSize=24&sort=-createdAt&in=operationId:1&locations=in%3ACF%40%3Cb%3ECapital%3C%2Fb%3E%20%3Cb%3EF%3C%2Fb%3Eederal%3A%3A%3A%3A%3A%3A&landingPath=comprar-propiedades elapsed_seconds=1.627
2026-06-27 11:20:11.609 | INFO     | source=remax run=- target=-:- | inmob.ingestion.sources.remax.source:_discover_api_listing_targets:361 - RE/MAX API discovery completed items=24 discovered=24 entrepreneurships=0 skipped=0 duplicates=0
2026-06-27 11:20:11.609 | INFO     | source=remax run=- target=-:- | inmob.ingestion.sources.remax.source:discover_listing_targets:278 - RE/MAX discovery selected API detail targets count=24
2026-06-27 11:20:11.609 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=api_endpoint:remax-api-search-remax-caba-newest-page-0 | inmob.cli.bronze.runner:_discover_listing_targets:220 - Discovered listings on search page count=24 elapsed_seconds=1.699
2026-06-27 11:20:11.609 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=-:- | inmob.cli.bronze.runner:_log_traffic_summary:379 - Traffic summary phase=search logical_requests=1 request_attempts=1 responses_returned=1 retries=0 transport_errors=0 retryable_statuses=0 politeness_waits=0 politeness_wait_total_seconds=0.0 retry_waits=0 retry_wait_total_seconds=0.0
2026-06-27 11:20:11.609 | DEBUG    | source=remax run=- target=-:- | inmob.ingestion.sources.base:close:232 - Closing HTTP client
2026-06-27 11:20:11.610 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=-:- | inmob.cli.bronze.runner:scrape_source:165 - Unique listings discovered total=24 selected_for_detail_fetch=15
2026-06-27 11:20:11.610 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=listing_detail:remax-api-listing-venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun | inmob.cli.bronze.runner:_fetch_and_store_listing_details:262 - Fetching listing detail index=1 total=15 uri=https://api-ar.redremax.com/remaxweb-ar/api/listings/findBySlug/venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun
2026-06-27 11:20:11.610 | DEBUG    | source=remax run=- target=listing_detail:remax-api-listing-venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun | inmob.ingestion.sources.base:fetch:121 - Creating HTTP client timeout_seconds=30.0 follow_redirects=True
2026-06-27 11:20:11.615 | INFO     | source=remax run=- target=listing_detail:remax-api-listing-venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun | inmob.ingestion.sources.base:fetch:132 - Fetching target method=GET uri=https://api-ar.redremax.com/remaxweb-ar/api/listings/findBySlug/venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun
2026-06-27 11:20:11.695 | DEBUG    | source=mudafy run=- target=listing_detail:mudafy-listing-260899 | inmob.ingestion.sources.browser:fetch_rendered_html:147 - Setting Playwright extra headers header_names=['accept', 'accept-language']
2026-06-27 11:20:11.855 | INFO     | source=argenprop run=- target=search_results:argenprop-search-argenprop-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:170 - Fetched target status_code=200 media_type=text/html payload_bytes=667803 final_uri=https://www.argenprop.com/departamentos/venta/capital-federal?orden-masnuevos elapsed_seconds=1.873
2026-06-27 11:20:11.893 | INFO     | source=argenprop run=- target=-:- | inmob.ingestion.sources.argenprop.source:discover_listing_targets:186 - Argenprop HTML discovery completed href_candidates=107 regex_candidates=39 discovered=20 rejected=87 duplicates=39
2026-06-27 11:20:11.893 | INFO     | source=argenprop run=cli-run-argenprop-363e5066 target=search_results:argenprop-search-argenprop-caba-newest-page-1 | inmob.cli.bronze.runner:_discover_listing_targets:220 - Discovered listings on search page count=20 elapsed_seconds=1.988
2026-06-27 11:20:11.893 | INFO     | source=argenprop run=cli-run-argenprop-363e5066 target=-:- | inmob.cli.bronze.runner:_log_traffic_summary:379 - Traffic summary phase=search logical_requests=1 request_attempts=1 responses_returned=1 retries=0 transport_errors=0 retryable_statuses=0 politeness_waits=0 politeness_wait_total_seconds=0.0 retry_waits=0 retry_wait_total_seconds=0.0
2026-06-27 11:20:11.894 | DEBUG    | source=argenprop run=- target=-:- | inmob.ingestion.sources.base:close:232 - Closing HTTP client
2026-06-27 11:20:11.894 | INFO     | source=argenprop run=cli-run-argenprop-363e5066 target=-:- | inmob.cli.bronze.runner:scrape_source:165 - Unique listings discovered total=20 selected_for_detail_fetch=15
2026-06-27 11:20:11.894 | INFO     | source=argenprop run=cli-run-argenprop-363e5066 target=listing_detail:argenprop-listing-19648386 | inmob.cli.bronze.runner:_fetch_and_store_listing_details:262 - Fetching listing detail index=1 total=15 uri=https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19648386
2026-06-27 11:20:11.894 | INFO     | source=argenprop run=- target=listing_detail:argenprop-listing-19648386 | inmob.ingestion.sources.browser:fetch_rendered_html:126 - Fetching target via Playwright render uri=https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19648386 reveal_enabled=True
2026-06-27 11:20:12.048 | DEBUG    | source=argenprop run=- target=listing_detail:argenprop-listing-19648386 | inmob.ingestion.sources.browser:fetch_rendered_html:132 - Launching Chromium for browser capture
2026-06-27 11:20:12.163 | DEBUG    | source=argenprop run=- target=listing_detail:argenprop-listing-19648386 | inmob.ingestion.sources.browser:fetch_rendered_html:147 - Setting Playwright extra headers header_names=['accept', 'accept-language']
2026-06-27 11:20:12.542 | INFO     | source=remax run=- target=listing_detail:remax-api-listing-venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun | inmob.ingestion.sources.base:fetch:170 - Fetched target status_code=200 media_type=application/json payload_bytes=11000 final_uri=https://api-ar.redremax.com/remaxweb-ar/api/listings/findBySlug/venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun elapsed_seconds=0.928
2026-06-27 11:20:12.544 | DEBUG    | source=remax run=cli-run-remax-8a4f2175 target=listing_detail:remax-api-listing-venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun | inmob.cli.bronze.store:persist:59 - Property raw payload written property_id=venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun payload_path=data/raw/remax/venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun/remax_venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun_raw_payload.json payload_bytes=11000 payload_sha256=d9c1505c2d5ae7a449e35239163f560f9b8def1a9e46c4d03c01cf8162692e1b
2026-06-27 11:20:12.545 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=listing_detail:remax-api-listing-venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun | inmob.cli.bronze.store:persist:92 - Property raw artifact persisted property_id=venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun payload_path=data/raw/remax/venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun/remax_venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun_raw_payload.json metadata_path=data/raw/remax/venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun/remax_venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun_raw_metadata.json
2026-06-27 11:20:12.545 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=listing_detail:remax-api-listing-venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun | inmob.cli.bronze.runner:_fetch_and_store_listing_details:273 - Saved listing detail index=1 total=15 property_id=venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun payload_bytes=11000 payload_path=data/raw/remax/venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun/remax_venta-2-amb-mucha-luz-villa-crespo-c-terraza-comun_raw_payload.json elapsed_seconds=0.935
2026-06-27 11:20:12.545 | INFO     | source=remax run=cli-run-remax-8a4f2175 target=listing_detail:remax-api-listing-departamento-venta-almagro-4-amb-gran-balcon-coch | inmob.cli.bronze.runner:_fetch_and_store_listing_details:262 - Fetching listing detail index=2 total=15 uri=https://api-ar.redremax.com/remaxweb-ar/api/listings/findBySlug/departamento-venta-almagro-4-amb-gran-balcon-coch
2026-06-27 11:20:12.545 | INFO     | source=remax run=- target=listing_detail:remax-api-listing-departamento-venta-almagro-4-amb-gran-balcon-coch | inmob.ingestion.sources.base:fetch:132 - Fetching target method=GET uri=https://api-ar.redremax.com/remaxweb-ar/api/listings/findBySlug/departamento-venta-almagro-4-amb-gran-balcon-coch
2026-06-27 11:20:12.581 | INFO     | source=properati run=- target=search_results:properati-search-properati-caba-newest-page-1 | inmob.ingestion.sources.base:fetch:170 - Fetched target status_code=200 media_type=text/html payload_bytes=992373 final_uri=https://www.properati.com.ar/s/capital-federal/departamento/venta?sort=published_on_desc elapsed_seconds=2.599
2026-06-27 11:20:12.615 | INFO     | source=properati run=- target=-:- | inmob.ingestion.sources.properati.source:discover_listing_targets:174 - Properati HTML discovery completed href_candidates=100 regex_candidates=90 discovered=30 rejected=70 duplicates=90
2026-06-27 11:20:12.616 | INFO     | source=properati run=cli-run-properati-e31d29c9 target=search_results:properati-search-properati-caba-newest-page-1 | inmob.cli.bronze.runner:_discover_listing_targets:220 - Discovered listings on search page count=30 elapsed_seconds=2.706
